Country Name,Code,2017,2018,2019,2020,Unnamed: 65
Armenia,ARM,3914.527854,4220.540321,4604.646324,4266.018074,
Bangladesh,BGD,1563.767819,1698.132081,1855.740094,1961.613749,
Bahrain,BHR,23742.93734,24085.95599,23551.93009,20409.9528,
Belize,BLZ,4945.857699,5001.422157,5078.809944,4115.177008,
Bolivia,BOL,3351.124344,3548.59078,3552.068143,3133.099803,
Colombia,COL,6376.706716,6729.583332,6424.979492,5334.556042,
Costa Rica,CRI,12225.57449,12485.4239,12693.82796,12140.85415,
Cyprus,CYP,26608.87509,29334.11093,29206.07672,27527.84531,
Ecuador,ECU,6213.503127,6295.934662,6222.524653,5600.389615,
Estonia,EST,20387.28315,23052.30126,23397.12001,23027.027,
Greece,GRC,18536.19072,19747.34258,19133.75776,17622.541,
Hungary,HUN,14623.69665,16427.37276,16735.65978,15980.74089,
India,IND,1980.66702,1996.915087,2100.751461,1927.707823,
Italy,ITA,32326.67421,34605.26273,33641.63375,31714.22095,
Lithuania,LTU,16843.69965,19176.81215,19575.76848,20233.64135,
Mexico,MEX,9287.849587,9686.984927,9950.45008,8329.271313,
Mali,MLI,830.0215153,894.8047765,879.0431873,862.4530188,
Malta,MLT,28250.69777,30672.29224,30186.19596,27884.64283,
Mongolia,MNG,3687.100003,4156.84697,4404.84583,4060.950518,
Netherlands,NLD,48554.99228,53018.62936,52476.27325,52397.11671,
Oman,OMN,17329.18546,18947.3665,17700.70349,14485.38612,
Poland,POL,13864.68176,15468.48222,15732.20313,15720.99466,
Portugal,PRT,21437.3475,23551.04829,23330.81729,22176.29671,
Paraguay,PRY,5678.869972,5782.78455,5380.963322,5001.07276,
Saudi Arabia,SAU,20802.46631,23337.01755,23139.79798,20110.31619,
Singapore,SGP,61176.45636,66679.04649,65640.70795,59797.75218,
El Salvador,SLV,3910.254403,4052.624775,4167.730939,3798.636521,
United States,USA,60109.65573,63064.41841,65279.52903,63593.44362,
Germany,DEU,44542.2952,47950.18081,46794.89929,46208.42947,
United Kingdom,GBR,40857.75558,43646.95197,43070.49836,41059.16881,
Indonesia,IDN,3837.578024,3893.859578,4135.201531,3869.588427,
West Bank and Gaza,PSE,3620.360487,3562.330943,3656.858271,3239.731108,
